,name,col_range,col_mean,col_median,col_freq_1_number,col_freq_1_count,col_freq_2_number,col_freq_2_count,col_freq_3_number,col_freq_3_count,col_25_percentile,col_50_percentile,col_75_percentile,col_variance,col_nulls
0,BATHRM,14.0,2.038025350233489,2.0,2.0,1091,1.0,1080,3.0,553,1.0,2.0,3.0,1.1350233934178786,2
1,NUM_UNITS,4.0,1.1827885256837891,1.0,1.0,2617,2.0,270,4.0,74,1.0,1.0,1.0,0.3222662288706318,2
2,ROOMS,39.0,7.362575050033356,7.0,6.0,952,7.0,606,8.0,501,6.0,7.0,8.0,5.716676983855102,2
3,BEDRM,12.0,3.390260173448966,3.0,3.0,1470,4.0,697,2.0,460,3.0,3.0,4.0,1.2770756079628662,2
4,AYB,2019.0,1928.2814271423808,1928.0,1900.0,203,1925.0,139,1923.0,93,1913.0,1928.0,1947.0,12014.311032518955,1
5,YR_RMDL,103.0,2001.2030237580993,2006.0,2011.0,86,2007.0,72,2005.0,71,1995.0,2006.0,2011.0,227.65327615289337,1611
6,PRICE,11000000.0,381604.83907580056,238000.0,0.0,831,350000.0,13,325000.0,12,0.0,238000.0,575000.0,311024576730.79443,533
7,STYLE,15.0,4.318879252835224,4.0,4.0,2248,7.0,282,6.0,189,4.0,4.0,4.0,2.1698870317949703,2
8,STRUCT,8.0,4.950633755837225,7.0,7.0,1126,1.0,914,8.0,431,1.0,7.0,7.0,8.2137783769983,2
9,ROOF,13.0,3.8832555036691128,2.0,2.0,901,1.0,891,6.0,819,1.0,2.0,6.0,10.998711853948679,2
10,KITCHENS,4.0,1.2118078719146097,1.0,1.0,2540,2.0,352,4.0,74,1.0,1.0,1.0,0.33650383761568997,2
11,FIREPLACES,9.0,0.6084056037358239,0.0,0.0,1700,1.0,927,2.0,273,0.0,0.0,1.0,0.7615175771724583,2
12,LANDAREA,691817.0,3541.912,2334.0,1800.0,42,2000.0,34,1600.0,29,1600.0,2334.0,4081.75,167544227.4187289,0
13,year,118.0,1985.3336666666667,2006.0,1900.0,646,2017.0,203,2015.0,186,1996.0,2006.0,2014.0,2038.2264086917862,0
0,HEAT_D,,,,Hot Water Rad,1239,Forced Air,925,Warm Cool,785,,,,,2
1,AC,,,,Y,1862,N,1136,,2,,,,,2
2,SALEDATE,,,,1900-01-01 00:00:00+00:00,646,2018-07-02 00:00:00+00:00,5,2017-04-18 00:00:00+00:00,5,,,,,0
3,QUALIFIED,,,,U,1695,Q,1305,Q,1305,,,,,0
4,GRADE_D,,,,Average,1049,Above Average,916,Good Quality,580,,,,,2
5,CNDTN_D,,,,Average,1609,Good,1060,Very Good,250,,,,,2
6,EXTWALL_D,,,,Common Brick,2218,Vinyl Siding,163,Brick/Siding,158,,,,,2
7,INTWALL_D,,,,Hardwood,2342,Hardwood/Carp,329,Wood Floor,215,,,,,2
8,GIS_LAST_MOD_DTTM,,,,2018-07-22T18:01:43.000Z,3000,2018-07-22T18:01:43.000Z,3000,2018-07-22T18:01:43.000Z,3000,,,,,0
