,AYB,Discretise,Frequency
0,1900.0,Old,2382
1,1907.0,Old,2382
2,1900.0,Old,2382
3,1890.0,Old,2382
4,1948.0,Old,2382
5,1897.0,Old,2382
6,1922.0,Old,2382
7,1910.0,Old,2382
8,1902.0,Old,2382
9,1978.0,New,433
10,1910.0,Old,2382
11,1895.0,Old,2382
12,1910.0,Old,2382
13,1895.0,Old,2382
14,1890.0,Old,2382
15,1926.0,Old,2382
16,1900.0,Old,2382
17,1905.0,Old,2382
18,1915.0,Old,2382
19,1900.0,Old,2382
20,1900.0,Old,2382
21,1890.0,Old,2382
22,1885.0,Old,2382
23,1912.0,Old,2382
24,1885.0,Old,2382
25,1892.0,Old,2382
26,1885.0,Old,2382
27,1890.0,Old,2382
28,1900.0,Old,2382
29,1900.0,Old,2382
30,2001.0,Very New,175
31,1900.0,Old,2382
32,1909.0,Old,2382
33,2019.0,Very New,175
34,1979.0,New,433
35,1885.0,Old,2382
36,1945.0,Old,2382
37,1895.0,Old,2382
38,1914.0,Old,2382
39,1912.0,Old,2382
40,1927.0,Old,2382
41,1895.0,Old,2382
42,1885.0,Old,2382
43,1885.0,Old,2382
44,1911.0,Old,2382
45,1911.0,Old,2382
46,1900.0,Old,2382
47,1910.0,Old,2382
48,1870.0,Old,2382
49,1870.0,Old,2382
50,1890.0,Old,2382
51,1928.0,Old,2382
52,1880.0,Old,2382
53,1915.0,Old,2382
54,1890.0,Old,2382
55,1890.0,Old,2382
56,1905.0,Old,2382
57,1905.0,Old,2382
58,1915.0,Old,2382
59,1885.0,Old,2382
60,2001.0,Very New,175
61,1880.0,Old,2382
62,1909.0,Old,2382
63,1900.0,Old,2382
64,1910.0,Old,2382
65,1895.0,Old,2382
66,1961.0,New,433
67,1970.0,New,433
68,1976.0,New,433
69,2002.0,Very New,175
70,1911.0,Old,2382
71,1885.0,Old,2382
72,1915.0,Old,2382
73,1908.0,Old,2382
74,1885.0,Old,2382
75,1921.0,Old,2382
76,1900.0,Old,2382
77,1975.0,New,433
78,1912.0,Old,2382
79,1885.0,Old,2382
80,1874.0,Old,2382
81,1900.0,Old,2382
82,1910.0,Old,2382
83,1910.0,Old,2382
84,1900.0,Old,2382
85,1905.0,Old,2382
86,1890.0,Old,2382
87,1900.0,Old,2382
88,1900.0,Old,2382
89,1911.0,Old,2382
90,1910.0,Old,2382
91,1890.0,Old,2382
92,1920.0,Old,2382
93,1900.0,Old,2382
