"BATHRM","HEAT_D","AC","NUM_UNITS","ROOMS","BEDRM","AYB","YR_RMDL","SALEDATE","PRICE","QUALIFIED","STYLE","STRUCT","GRADE_D","CNDTN_D","EXTWALL_D","ROOF","INTWALL_D","KITCHENS","FIREPLACES","LANDAREA","GIS_LAST_MOD_DTTM"
4,"Forced Air","Y",3,8,5,1900,2000,"2012-11-02T00:00:00.000Z",1295000,"Q",7,6,"Very Good","Good","Common Brick",2,"Hardwood/Carp",3,2,1626,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,8,3,1907,2014,"2014-10-08T00:00:00.000Z",993500,"Q",4,7,"Average","Very Good","Common Brick",2,"Hardwood",1,1,814,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,9,3,1900,2001,"2003-03-25T00:00:00.000Z",0,"U",4,7,"Average","Good","Common Brick",2,"Hardwood",1,1,1831,"2018-07-22T18:01:43.000Z"
4,"Hot Water Rad","N",1,11,7,1890,,"2009-06-04T00:00:00.000Z",0,"U",10,6,"Excellent","Average","Brick/Stone",6,"Hardwood",1,4,1374,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","N",4,11,5,1948,,"2013-04-25T00:00:00.000Z",0,"U",7,7,"Very Good","Average","Common Brick",6,"Hardwood",4,0,1188,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","N",3,10,4,1897,2007,"2005-10-18T00:00:00.000Z",1495000,"U",7,7,"Very Good","Good","Common Brick",2,"Hardwood",3,6,1800,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",1,10,5,1922,2001,"2008-06-06T00:00:00.000Z",1865000,"Q",7,7,"Very Good","Good","Common Brick",2,"Hardwood",1,5,1800,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,6,3,1910,1996,"2008-01-18T00:00:00.000Z",1100000,"U",4,7,"Above Average","Average","Common Brick",2,"Hardwood",1,3,1800,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,8,5,1902,2010,"1900-01-01T00:00:00.000Z",,"U",7,7,"Very Good","Average","Common Brick",2,"Hardwood",1,5,2250,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,8,3,1978,,"1992-03-02T00:00:00.000Z",360000,"Q",7,2,"Good Quality","Good","Common Brick",2,"Hardwood",2,1,1230,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,5,3,1910,2004,"2003-10-07T00:00:00.000Z",625000,"Q",6,7,"Above Average","Good","Common Brick",1,"Hardwood",1,1,799,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,8,3,1895,2009,"2015-08-03T00:00:00.000Z",175145,"U",4,7,"Above Average","Average","Common Brick",2,"Hardwood",1,1,1760,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",2,8,3,1910,,"1996-01-19T00:00:00.000Z",275000,"Q",7,7,"Very Good","Average","Common Brick",2,"Hardwood",2,0,1190,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",2,7,4,1895,1978,"2001-07-10T00:00:00.000Z",451550,"Q",7,6,"Good Quality","Average","Common Brick",6,"Hardwood",2,1,874,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",2,7,4,1890,,"1900-01-01T00:00:00.000Z",,"U",4,7,"Good Quality","Average","Common Brick",6,"Hardwood",2,0,740,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,6,2,1926,,"2012-03-28T00:00:00.000Z",0,"U",4,7,"Good Quality","Average","Common Brick",2,"Hardwood",1,1,1042,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,9,4,1900,1978,"1900-01-01T00:00:00.000Z",,"U",6,7,"Very Good","Average","Common Brick",2,"Hardwood",2,3,1600,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",3,13,5,1905,1978,"1900-01-01T00:00:00.000Z",,"U",7,7,"Very Good","Fair","Common Brick",2,"Hardwood",3,2,1700,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,8,3,1915,1998,"2014-07-07T00:00:00.000Z",1080000,"Q",4,7,"Above Average","Good","Common Brick",6,"Hardwood",2,1,1386,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,12,5,1900,2001,"2005-11-09T00:00:00.000Z",1259000,"Q",7,7,"Very Good","Good","Common Brick",2,"Hardwood",2,1,1622,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,12,5,1900,1979,"1900-01-01T00:00:00.000Z",,"U",7,7,"Very Good","Average","Common Brick",2,"Hardwood",2,2,1622,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,10,4,1890,2007,"2016-05-12T00:00:00.000Z",1600000,"Q",7,7,"Good Quality","Good","Common Brick",2,"Hardwood",2,3,1800,"2018-07-22T18:01:43.000Z"
