,PRICE,Equi_Width,Equi_Depth
0,1295000.0,1210000.0-1320000.0,"(1100000.0, 1450000.0]"
1,993500.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
2,0.0,0.0-110000.0,"(-1.0, 98000.0]"
3,0.0,0.0-110000.0,"(-1.0, 98000.0]"
4,0.0,0.0-110000.0,"(-1.0, 98000.0]"
5,1495000.0,1430000.0-1540000.0,"(1450000.0, 11000000.0]"
6,1865000.0,1760000.0-1870000.0,"(1450000.0, 11000000.0]"
7,1100000.0,1100000.0-1210000.0,"(918200.0, 1100000.0]"
8,,,
9,360000.0,330000.0-440000.0,"(348740.0, 389720.0]"
10,625000.0,550000.0-660000.0,"(604600.0, 678253.0]"
11,175145.0,110000.0-220000.0,"(160000.0, 195000.0]"
12,275000.0,220000.0-330000.0,"(270200.0, 305800.0]"
13,451550.0,440000.0-550000.0,"(432500.0, 489632.0]"
14,,,
15,0.0,0.0-110000.0,"(-1.0, 98000.0]"
16,,,
17,,,
18,1080000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
19,1259000.0,1210000.0-1320000.0,"(1100000.0, 1450000.0]"
20,,,
21,1600000.0,1540000.0-1650000.0,"(1450000.0, 11000000.0]"
22,2149000.0,2090000.0-2200000.0,"(1450000.0, 11000000.0]"
23,625000.0,550000.0-660000.0,"(604600.0, 678253.0]"
24,2600000.0,2530000.0-2640000.0,"(1450000.0, 11000000.0]"
25,1231000.0,1210000.0-1320000.0,"(1100000.0, 1450000.0]"
26,1425000.0,1320000.0-1430000.0,"(1100000.0, 1450000.0]"
27,289000.0,220000.0-330000.0,"(270200.0, 305800.0]"
28,114000.0,110000.0-220000.0,"(98000.0, 129000.0]"
29,0.0,0.0-110000.0,"(-1.0, 98000.0]"
30,325149.0,220000.0-330000.0,"(305800.0, 348740.0]"
31,0.0,0.0-110000.0,"(-1.0, 98000.0]"
32,203000.0,110000.0-220000.0,"(195000.0, 238000.0]"
33,0.0,0.0-110000.0,"(-1.0, 98000.0]"
34,1025000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
35,1000000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
36,0.0,0.0-110000.0,"(-1.0, 98000.0]"
37,0.0,0.0-110000.0,"(-1.0, 98000.0]"
38,525000.0,440000.0-550000.0,"(489632.0, 545000.0]"
39,470000.0,440000.0-550000.0,"(432500.0, 489632.0]"
40,0.0,0.0-110000.0,"(-1.0, 98000.0]"
41,0.0,0.0-110000.0,"(-1.0, 98000.0]"
42,0.0,0.0-110000.0,"(-1.0, 98000.0]"
43,0.0,0.0-110000.0,"(-1.0, 98000.0]"
44,440000.0,440000.0-550000.0,"(432500.0, 489632.0]"
45,310000.0,220000.0-330000.0,"(305800.0, 348740.0]"
46,630130.0,550000.0-660000.0,"(604600.0, 678253.0]"
47,,,
48,130000.0,110000.0-220000.0,"(129000.0, 160000.0]"
49,800000.0,770000.0-880000.0,"(750000.0, 825000.0]"
50,330000.0,330000.0-440000.0,"(305800.0, 348740.0]"
51,0.0,0.0-110000.0,"(-1.0, 98000.0]"
52,540000.0,440000.0-550000.0,"(489632.0, 545000.0]"
53,289900.0,220000.0-330000.0,"(270200.0, 305800.0]"
54,272000.0,220000.0-330000.0,"(270200.0, 305800.0]"
55,0.0,0.0-110000.0,"(-1.0, 98000.0]"
56,,,
57,1245000.0,1210000.0-1320000.0,"(1100000.0, 1450000.0]"
58,1749500.0,1650000.0-1760000.0,"(1450000.0, 11000000.0]"
59,410000.0,330000.0-440000.0,"(389720.0, 432500.0]"
60,0.0,0.0-110000.0,"(-1.0, 98000.0]"
61,1125000.0,1100000.0-1210000.0,"(1100000.0, 1450000.0]"
62,0.0,0.0-110000.0,"(-1.0, 98000.0]"
63,1150000.0,1100000.0-1210000.0,"(1100000.0, 1450000.0]"
64,670000.0,660000.0-770000.0,"(604600.0, 678253.0]"
65,0.0,0.0-110000.0,"(-1.0, 98000.0]"
66,0.0,0.0-110000.0,"(-1.0, 98000.0]"
67,1980000.0,1980000.0-2090000.0,"(1450000.0, 11000000.0]"
68,876000.0,770000.0-880000.0,"(825000.0, 918200.0]"
69,920000.0,880000.0-990000.0,"(918200.0, 1100000.0]"
70,0.0,0.0-110000.0,"(-1.0, 98000.0]"
71,1296000.0,1210000.0-1320000.0,"(1100000.0, 1450000.0]"
72,210000.0,110000.0-220000.0,"(195000.0, 238000.0]"
73,0.0,0.0-110000.0,"(-1.0, 98000.0]"
74,940000.0,880000.0-990000.0,"(918200.0, 1100000.0]"
75,0.0,0.0-110000.0,"(-1.0, 98000.0]"
76,485000.0,440000.0-550000.0,"(432500.0, 489632.0]"
77,1050000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
78,1877000.0,1870000.0-1980000.0,"(1450000.0, 11000000.0]"
79,1185000.0,1100000.0-1210000.0,"(1100000.0, 1450000.0]"
80,750000.0,660000.0-770000.0,"(678253.0, 750000.0]"
81,0.0,0.0-110000.0,"(-1.0, 98000.0]"
82,416000.0,330000.0-440000.0,"(389720.0, 432500.0]"
83,725000.0,660000.0-770000.0,"(678253.0, 750000.0]"
84,1092000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
85,603000.0,550000.0-660000.0,"(545000.0, 604600.0]"
86,370000.0,330000.0-440000.0,"(348740.0, 389720.0]"
87,11000000.0,11000000.0-11110000.0,"(1450000.0, 11000000.0]"
88,0.0,0.0-110000.0,"(-1.0, 98000.0]"
89,458220.0,440000.0-550000.0,"(432500.0, 489632.0]"
90,0.0,0.0-110000.0,"(-1.0, 98000.0]"
91,0.0,0.0-110000.0,"(-1.0, 98000.0]"
92,0.0,0.0-110000.0,"(-1.0, 98000.0]"
93,781000.0,770000.0-880000.0,"(750000.0, 825000.0]"
94,254900.0,220000.0-330000.0,"(238000.0, 270200.0]"
95,0.0,0.0-110000.0,"(-1.0, 98000.0]"
96,780000.0,770000.0-880000.0,"(750000.0, 825000.0]"
97,860000.0,770000.0-880000.0,"(825000.0, 918200.0]"
98,,,
99,781425.0,770000.0-880000.0,"(750000.0, 825000.0]"
100,0.0,0.0-110000.0,"(-1.0, 98000.0]"
101,,,
102,,,
103,0.0,0.0-110000.0,"(-1.0, 98000.0]"
104,0.0,0.0-110000.0,"(-1.0, 98000.0]"
105,0.0,0.0-110000.0,"(-1.0, 98000.0]"
106,,,
107,168000.0,110000.0-220000.0,"(160000.0, 195000.0]"
108,630000.0,550000.0-660000.0,"(604600.0, 678253.0]"
109,,,
110,990000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
111,0.0,0.0-110000.0,"(-1.0, 98000.0]"
112,1145000.0,1100000.0-1210000.0,"(1100000.0, 1450000.0]"
113,0.0,0.0-110000.0,"(-1.0, 98000.0]"
114,845000.0,770000.0-880000.0,"(825000.0, 918200.0]"
115,485000.0,440000.0-550000.0,"(432500.0, 489632.0]"
116,288000.0,220000.0-330000.0,"(270200.0, 305800.0]"
117,0.0,0.0-110000.0,"(-1.0, 98000.0]"
118,0.0,0.0-110000.0,"(-1.0, 98000.0]"
119,541000.0,440000.0-550000.0,"(489632.0, 545000.0]"
120,0.0,0.0-110000.0,"(-1.0, 98000.0]"
121,1029000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
122,220986.0,220000.0-330000.0,"(195000.0, 238000.0]"
123,1675000.0,1650000.0-1760000.0,"(1450000.0, 11000000.0]"
124,,,
125,0.0,0.0-110000.0,"(-1.0, 98000.0]"
126,126000.0,110000.0-220000.0,"(98000.0, 129000.0]"
127,785000.0,770000.0-880000.0,"(750000.0, 825000.0]"
128,512500.0,440000.0-550000.0,"(489632.0, 545000.0]"
129,0.0,0.0-110000.0,"(-1.0, 98000.0]"
130,750000.0,660000.0-770000.0,"(678253.0, 750000.0]"
131,0.0,0.0-110000.0,"(-1.0, 98000.0]"
132,25000.0,0.0-110000.0,"(-1.0, 98000.0]"
133,463000.0,440000.0-550000.0,"(432500.0, 489632.0]"
134,0.0,0.0-110000.0,"(-1.0, 98000.0]"
135,0.0,0.0-110000.0,"(-1.0, 98000.0]"
136,859000.0,770000.0-880000.0,"(825000.0, 918200.0]"
137,355000.0,330000.0-440000.0,"(348740.0, 389720.0]"
138,1100000.0,1100000.0-1210000.0,"(918200.0, 1100000.0]"
139,0.0,0.0-110000.0,"(-1.0, 98000.0]"
140,935000.0,880000.0-990000.0,"(918200.0, 1100000.0]"
141,799900.0,770000.0-880000.0,"(750000.0, 825000.0]"
142,567500.0,550000.0-660000.0,"(545000.0, 604600.0]"
143,460000.0,440000.0-550000.0,"(432500.0, 489632.0]"
144,850000.0,770000.0-880000.0,"(825000.0, 918200.0]"
145,400000.0,330000.0-440000.0,"(389720.0, 432500.0]"
146,514900.0,440000.0-550000.0,"(489632.0, 545000.0]"
147,520000.0,440000.0-550000.0,"(489632.0, 545000.0]"
148,1050000.0,990000.0-1100000.0,"(918200.0, 1100000.0]"
149,0.0,0.0-110000.0,"(-1.0, 98000.0]"
150,0.0,0.0-110000.0,"(-1.0, 98000.0]"
151,420000.0,330000.0-440000.0,"(389720.0, 432500.0]"
152,0.0,0.0-110000.0,"(-1.0, 98000.0]"
153,775000.0,770000.0-880000.0,"(750000.0, 825000.0]"
154,0.0,0.0-110000.0,"(-1.0, 98000.0]"
155,285000.0,220000.0-330000.0,"(270200.0, 305800.0]"
